Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Nigeria,NGA,2007,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,24800
Nigeria,NGA,2006,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,23999
Nigeria,NGA,2005,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,23000
Nigeria,NGA,2004,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,23000
Nigeria,NGA,2003,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,22000
Nigeria,NGA,2002,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,21000
Nigeria,NGA,2001,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,20006
Nigeria,NGA,2000,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,19400
Nigeria,NGA,1999,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,18850
Nigeria,NGA,1998,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,18300
Nigeria,NGA,1997,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,17750
Nigeria,NGA,1996,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,17200
Nigeria,NGA,1995,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,16650
Nigeria,NGA,1994,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,16100
Nigeria,NGA,1993,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,15550
Nigeria,NGA,1992,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,15000
Nigeria,NGA,1991,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,14450
Nigeria,NGA,1990,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,13900
Nigeria,NGA,1989,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,13350
Nigeria,NGA,1988,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,12800
Nigeria,NGA,1987,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,12250
Nigeria,NGA,1986,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,11700
Nigeria,NGA,1985,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,11150
Nigeria,NGA,1984,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,10600
